voltage,current,time,date
4186,0139,14:18:50,26/02/25
4184,0138,14:19:00,26/02/25
4184,0138,14:19:10,26/02/25
4185,0137,14:19:20,26/02/25
4186,0139,14:19:30,26/02/25
4186,0138,14:19:40,26/02/25
4185,0137,14:19:50,26/02/25
4187,0138,14:20:00,26/02/25
4183,0137,14:20:10,26/02/25
4187,0137,14:20:20,26/02/25
4187,0136,14:20:30,26/02/25
4186,0137,14:20:40,26/02/25
4184,0137,14:20:50,26/02/25
4184,0137,14:21:00,26/02/25
4186,0136,14:21:10,26/02/25
4184,0136,14:21:20,26/02/25
4186,0136,14:21:30,26/02/25
4185,0136,14:21:40,26/02/25
4185,0136,14:21:50,26/02/25
4186,0135,14:22:00,26/02/25
4187,0135,14:22:10,26/02/25
4184,0135,14:22:20,26/02/25
4186,0135,14:22:30,26/02/25
4184,0134,14:22:40,26/02/25
4186,0134,14:22:50,26/02/25
4186,0134,14:23:00,26/02/25
4185,0134,14:23:10,26/02/25
4184,0134,14:23:20,26/02/25
4182,0133,14:23:30,26/02/25
4186,0134,14:23:40,26/02/25
4184,0134,14:23:50,26/02/25
4186,0132,14:24:00,26/02/25
4184,0133,14:24:10,26/02/25
4185,0132,14:24:20,26/02/25
4184,0133,14:24:30,26/02/25
4184,0133,14:24:40,26/02/25
4184,0132,14:24:50,26/02/25
4184,0132,14:25:00,26/02/25
4185,0131,14:25:10,26/02/25
4185,0131,14:25:20,26/02/25
4187,0130,14:25:30,26/02/25
4185,0130,14:25:40,26/02/25
4185,0130,14:25:50,26/02/25
4185,0131,14:26:00,26/02/25
4186,0130,14:26:10,26/02/25
4185,0129,14:26:20,26/02/25
4184,0130,14:26:30,26/02/25
4185,0129,14:26:40,26/02/25
4184,0128,14:26:50,26/02/25
4184,0128,14:27:00,26/02/25
4186,0129,14:27:10,26/02/25
4183,0128,14:27:20,26/02/25
4184,0128,14:27:30,26/02/25
4186,0128,14:27:40,26/02/25
4186,0128,14:27:50,26/02/25
4185,0128,14:28:00,26/02/25
4186,0127,14:28:10,26/02/25
4185,0127,14:28:20,26/02/25
4184,0127,14:28:30,26/02/25
4188,0128,14:28:40,26/02/25
4185,0126,14:28:50,26/02/25
4184,0126,14:29:00,26/02/25
4188,0126,14:29:10,26/02/25
4183,0127,14:29:20,26/02/25
4183,0125,14:29:30,26/02/25
4184,0125,14:29:40,26/02/25
4184,0124,14:29:50,26/02/25
4184,0126,14:30:00,26/02/25
4186,0125,14:30:10,26/02/25
4185,0125,14:30:20,26/02/25
4187,0125,14:30:30,26/02/25
4185,0125,14:30:40,26/02/25
4184,0125,14:30:50,26/02/25
4185,0124,14:31:00,26/02/25
4184,0124,14:31:10,26/02/25
4186,0124,14:31:20,26/02/25
4184,0124,14:31:30,26/02/25
4185,0122,14:31:40,26/02/25
4184,0123,14:31:50,26/02/25
4185,0123,14:32:00,26/02/25
4184,0124,14:32:10,26/02/25
4181,0121,14:32:20,26/02/25
4180,0120,14:32:30,26/02/25
4183,0121,14:32:40,26/02/25
4184,0122,14:32:50,26/02/25
4184,0121,14:33:00,26/02/25
4186,0122,14:33:10,26/02/25
4185,0120,14:33:20,26/02/25
4184,0120,14:33:30,26/02/25
4184,0121,14:33:40,26/02/25
4185,0121,14:33:50,26/02/25
4186,0120,14:34:00,26/02/25
4183,0120,14:34:10,26/02/25
4186,0120,14:34:20,26/02/25
4185,0120,14:34:30,26/02/25
4183,0119,14:34:40,26/02/25
4186,0120,14:34:50,26/02/25
4184,0119,14:35:00,26/02/25
4186,0119,14:35:10,26/02/25
4184,0118,14:35:20,26/02/25
4185,0118,14:35:30,26/02/25
4185,0119,14:35:40,26/02/25
4185,0119,14:35:50,26/02/25
4185,0118,14:36:00,26/02/25
4184,0119,14:36:10,26/02/25
4186,0118,14:36:20,26/02/25
4185,0118,14:36:30,26/02/25
4186,0118,14:36:40,26/02/25
4185,0116,14:36:50,26/02/25
4182,0117,14:37:00,26/02/25
4185,0117,14:37:10,26/02/25
4185,0116,14:37:20,26/02/25
4184,0117,14:37:30,26/02/25
4187,0118,14:37:40,26/02/25
4185,0117,14:37:50,26/02/25
4182,0115,14:38:00,26/02/25
4183,0116,14:38:10,26/02/25
4183,0116,14:38:20,26/02/25
4186,0116,14:38:30,26/02/25
4184,0115,14:38:40,26/02/25
4186,0115,14:38:50,26/02/25
4185,0115,14:39:00,26/02/25
4185,0115,14:39:10,26/02/25
4186,0114,14:39:20,26/02/25
4184,0115,14:39:30,26/02/25
4184,0113,14:39:40,26/02/25
4184,0114,14:39:50,26/02/25
4186,0113,14:40:00,26/02/25
4185,0115,14:40:10,26/02/25
4184,0113,14:40:20,26/02/25
4186,0115,14:40:30,26/02/25
4184,0113,14:40:40,26/02/25
4184,0112,14:40:50,26/02/25
4187,0113,14:41:00,26/02/25
4184,0112,14:41:10,26/02/25
4185,0111,14:41:20,26/02/25
4184,0112,14:41:30,26/02/25
4182,0111,14:41:40,26/02/25
4187,0112,14:41:50,26/02/25
4187,0112,14:42:00,26/02/25
4187,0112,14:42:10,26/02/25
4186,0111,14:42:20,26/02/25
4185,0111,14:42:30,26/02/25
4187,0112,14:42:40,26/02/25
4185,0110,14:42:50,26/02/25
4186,0111,14:43:00,26/02/25
4185,0109,14:43:10,26/02/25
4186,0111,14:43:20,26/02/25
4186,0110,14:43:30,26/02/25
4185,0110,14:43:40,26/02/25
4184,0109,14:43:50,26/02/25
4187,0109,14:44:00,26/02/25
4184,0110,14:44:10,26/02/25
4183,0108,14:44:20,26/02/25
4186,0109,14:44:30,26/02/25
4186,0109,14:44:40,26/02/25
4187,0109,14:44:50,26/02/25
4184,0108,14:45:00,26/02/25
4184,0107,14:45:10,26/02/25
4184,0108,14:45:20,26/02/25
4186,0108,14:45:30,26/02/25
4184,0108,14:45:40,26/02/25
4185,0107,14:45:50,26/02/25
4185,0107,14:46:00,26/02/25
4187,0109,14:46:10,26/02/25
4185,0106,14:46:20,26/02/25
4182,0107,14:46:30,26/02/25
4183,0106,14:46:40,26/02/25
4185,0107,14:46:50,26/02/25
4185,0106,14:47:00,26/02/25
4186,0107,14:47:10,26/02/25
4184,0106,14:47:20,26/02/25
4188,0106,14:47:30,26/02/25
4183,0105,14:47:40,26/02/25
4185,0105,14:47:50,26/02/25
4186,0105,14:48:00,26/02/25
4185,0105,14:48:10,26/02/25
4184,0104,14:48:20,26/02/25
4185,0104,14:48:30,26/02/25
4182,0104,14:48:40,26/02/25
4184,0104,14:48:50,26/02/25
4185,0105,14:49:00,26/02/25
4185,0104,14:49:10,26/02/25
4187,0104,14:49:20,26/02/25
4184,0103,14:49:30,26/02/25
4184,0105,14:49:40,26/02/25
4185,0103,14:49:50,26/02/25
4185,0103,14:50:00,26/02/25
4183,0104,14:50:10,26/02/25
4184,0103,14:50:20,26/02/25
4184,0102,14:50:30,26/02/25
4185,0102,14:50:40,26/02/25
4185,0102,14:50:50,26/02/25
4184,0102,14:51:00,26/02/25
4185,0102,14:51:10,26/02/25
4185,0102,14:51:20,26/02/25
4186,0102,14:51:30,26/02/25
4185,0102,14:51:40,26/02/25
4184,0103,14:51:50,26/02/25
4184,0101,14:52:00,26/02/25
4186,0102,14:52:10,26/02/25
4185,0102,14:52:20,26/02/25
4186,0101,14:52:30,26/02/25
4187,0102,14:52:40,26/02/25
4184,0100,14:52:50,26/02/25
4184,0101,14:53:00,26/02/25
4183,0100,14:53:10,26/02/25
4184,0100,14:53:20,26/02/25
4185,0100,14:53:30,26/02/25
4184,0100,14:53:40,26/02/25
4185,0100,14:53:50,26/02/25
4184,0100,14:54:00,26/02/25
4186,0101,14:54:10,26/02/25
4184,0100,14:54:20,26/02/25
4184,0100,14:54:30,26/02/25
4184,0100,14:54:40,26/02/25
4183,0100,14:54:50,26/02/25
4183,0099,14:55:00,26/02/25
4186,0100,14:55:10,26/02/25
4184,0099,14:55:20,26/02/25
4186,0100,14:55:30,26/02/25
4185,0098,14:55:40,26/02/25
4184,0099,14:55:50,26/02/25
4183,0098,14:56:00,26/02/25
4185,0098,14:56:10,26/02/25
4188,0099,14:56:20,26/02/25
4183,0100,14:56:30,26/02/25
4182,0097,14:56:40,26/02/25
4182,0099,14:56:50,26/02/25
4184,0097,14:57:00,26/02/25
4186,0098,14:57:10,26/02/25
4183,0098,14:57:20,26/02/25
4185,0097,14:57:30,26/02/25
4186,0098,14:57:40,26/02/25
4183,0098,14:57:50,26/02/25
4183,0098,14:58:00,26/02/25
4184,0097,14:58:10,26/02/25
4186,0098,14:58:20,26/02/25
4184,0098,14:58:30,26/02/25
4187,0098,14:58:40,26/02/25
4184,0098,14:58:50,26/02/25
4186,0095,14:59:00,26/02/25
4184,0098,14:59:10,26/02/25
4186,0096,14:59:20,26/02/25
4184,0095,14:59:30,26/02/25
4185,0097,14:59:40,26/02/25
4184,0095,14:59:50,26/02/25
4183,0096,15:00:00,26/02/25
4184,0095,15:00:10,26/02/25
4184,0095,15:00:20,26/02/25
4185,0096,15:00:30,26/02/25
4185,0095,15:00:40,26/02/25
4184,0096,15:00:50,26/02/25
4185,0098,15:01:00,26/02/25
4184,0094,15:01:10,26/02/25
4185,0095,15:01:20,26/02/25
4185,0095,15:01:30,26/02/25
4186,0095,15:01:40,26/02/25
4184,0095,15:01:50,26/02/25
4184,0096,15:02:00,26/02/25
4186,0094,15:02:10,26/02/25
4186,0094,15:02:20,26/02/25
4184,0094,15:02:30,26/02/25
4188,0094,15:02:40,26/02/25
4187,0095,15:02:50,26/02/25
4185,0095,15:03:00,26/02/25
4185,0094,15:03:10,26/02/25
4184,0094,15:03:20,26/02/25
4183,0093,15:03:30,26/02/25
4183,0093,15:03:40,26/02/25
4184,0094,15:03:50,26/02/25
4185,0093,15:04:00,26/02/25
4185,0094,15:04:10,26/02/25
4186,0093,15:04:20,26/02/25
4184,0093,15:04:30,26/02/25
4185,0093,15:04:40,26/02/25
4185,0093,15:04:50,26/02/25
4186,0093,15:05:00,26/02/25
4185,0092,15:05:10,26/02/25
4183,0093,15:05:20,26/02/25
4186,0092,15:05:30,26/02/25
4184,0092,15:05:40,26/02/25
4185,0093,15:05:50,26/02/25
4187,0094,15:06:00,26/02/25
4186,0092,15:06:10,26/02/25
4184,0092,15:06:20,26/02/25
4183,0092,15:06:30,26/02/25
4184,0092,15:06:40,26/02/25
4185,0092,15:06:50,26/02/25
4184,0092,15:07:00,26/02/25
4186,0092,15:07:10,26/02/25
4185,0092,15:07:20,26/02/25
4185,0092,15:07:30,26/02/25
4185,0092,15:07:40,26/02/25
4185,0092,15:07:50,26/02/25
4184,0092,15:08:00,26/02/25
4185,0091,15:08:10,26/02/25
4185,0092,15:08:20,26/02/25
4185,0092,15:08:30,26/02/25
4183,0090,15:08:40,26/02/25
4185,0093,15:08:50,26/02/25
4186,0092,15:09:00,26/02/25
4185,0091,15:09:10,26/02/25
4183,0092,15:09:20,26/02/25
4184,0091,15:09:30,26/02/25
4186,0091,15:09:40,26/02/25
4185,0092,15:09:50,26/02/25
4188,0091,15:10:00,26/02/25
4184,0091,15:10:10,26/02/25
4185,0092,15:10:20,26/02/25
4186,0091,15:10:30,26/02/25
4184,0091,15:10:40,26/02/25
4187,0091,15:10:50,26/02/25
4184,0090,15:11:00,26/02/25
4185,0090,15:11:10,26/02/25
4186,0090,15:11:20,26/02/25
4183,0090,15:11:30,26/02/25
4185,0090,15:11:40,26/02/25
4186,0089,15:11:50,26/02/25
4185,0091,15:12:00,26/02/25
4184,0090,15:12:10,26/02/25
4185,0089,15:12:20,26/02/25
4184,0090,15:12:30,26/02/25
4182,0089,15:12:40,26/02/25
4184,0088,15:12:50,26/02/25
4183,0089,15:13:00,26/02/25
4184,0090,15:13:10,26/02/25
4183,0088,15:13:20,26/02/25
4185,0090,15:13:30,26/02/25
4182,0089,15:13:40,26/02/25
4185,0089,15:13:50,26/02/25
4184,0090,15:14:00,26/02/25
4185,0089,15:14:10,26/02/25
4185,0089,15:14:20,26/02/25
4185,0089,15:14:30,26/02/25
4184,0089,15:14:40,26/02/25
4184,0088,15:14:50,26/02/25
4186,0089,15:15:00,26/02/25
4185,0090,15:15:10,26/02/25
4187,0089,15:15:20,26/02/25
4184,0089,15:15:30,26/02/25
4186,0088,15:15:40,26/02/25
4185,0089,15:15:50,26/02/25
4187,0090,15:16:00,26/02/25
4184,0088,15:16:10,26/02/25
4186,0088,15:16:20,26/02/25
4186,0089,15:16:30,26/02/25
4185,0088,15:16:40,26/02/25
4186,0089,15:16:50,26/02/25
4184,0087,15:17:00,26/02/25
4187,0088,15:17:10,26/02/25
4184,0088,15:17:20,26/02/25
4185,0088,15:17:30,26/02/25
4184,0088,15:17:40,26/02/25
4186,0089,15:17:50,26/02/25
4186,0089,15:18:00,26/02/25
4185,0087,15:18:10,26/02/25
4184,0087,15:18:20,26/02/25
4186,0086,15:18:30,26/02/25
4185,0087,15:18:40,26/02/25
4184,0088,15:18:50,26/02/25
4186,0088,15:19:00,26/02/25
4189,0088,15:19:10,26/02/25
4184,0087,15:19:20,26/02/25
4184,0087,15:19:30,26/02/25
4184,0087,15:19:40,26/02/25
4183,0085,15:19:50,26/02/25
4185,0086,15:20:00,26/02/25
4185,0088,15:20:10,26/02/25
4184,0087,15:20:20,26/02/25
4184,0088,15:20:30,26/02/25
4184,0086,15:20:40,26/02/25
4186,0087,15:20:50,26/02/25
4185,0087,15:21:00,26/02/25
4184,0086,15:21:10,26/02/25
4183,0087,15:21:20,26/02/25
4185,0087,15:21:30,26/02/25
4185,0086,15:21:40,26/02/25
4185,0087,15:21:50,26/02/25
4183,0087,15:22:00,26/02/25
4187,0087,15:22:10,26/02/25
4185,0086,15:22:20,26/02/25
4185,0089,15:22:30,26/02/25
4185,0086,15:22:40,26/02/25
4184,0087,15:22:50,26/02/25
4185,0086,15:23:00,26/02/25
4187,0087,15:23:10,26/02/25
4187,0088,15:23:20,26/02/25
4184,0086,15:23:30,26/02/25
4186,0085,15:23:40,26/02/25
4185,0086,15:23:50,26/02/25
4183,0086,15:24:00,26/02/25
4185,0085,15:24:10,26/02/25
4186,0086,15:24:20,26/02/25
4186,0086,15:24:30,26/02/25
4185,0085,15:24:40,26/02/25
4184,0085,15:24:50,26/02/25
4184,0085,15:25:00,26/02/25
4184,0085,15:25:10,26/02/25
4185,0086,15:25:20,26/02/25
4183,0085,15:25:30,26/02/25
4184,0085,15:25:40,26/02/25
4186,0085,15:25:50,26/02/25
4184,0085,15:26:00,26/02/25
4185,0085,15:26:10,26/02/25
4184,0084,15:26:20,26/02/25
4184,0084,15:26:30,26/02/25
4186,0085,15:26:40,26/02/25
4184,0085,15:26:50,26/02/25
4186,0085,15:27:00,26/02/25
4186,0085,15:27:10,26/02/25
4184,0084,15:27:20,26/02/25
4184,0085,15:27:30,26/02/25
4184,0084,15:27:40,26/02/25
4183,0084,15:27:50,26/02/25
4184,0084,15:28:00,26/02/25
4183,0085,15:28:10,26/02/25
4183,0084,15:28:20,26/02/25
4184,0084,15:28:30,26/02/25
4185,0084,15:28:40,26/02/25
4182,0084,15:28:50,26/02/25
4184,0084,15:29:00,26/02/25
4184,0084,15:29:10,26/02/25
4184,0083,15:29:20,26/02/25
4183,0084,15:29:30,26/02/25
4185,0083,15:29:40,26/02/25
4183,0083,15:29:50,26/02/25
4185,0085,15:30:00,26/02/25
4184,0084,15:30:10,26/02/25
4184,0084,15:30:20,26/02/25
4184,0083,15:30:30,26/02/25
4183,0083,15:30:40,26/02/25
4184,0084,15:30:50,26/02/25
4185,0084,15:31:00,26/02/25
4186,0084,15:31:10,26/02/25
4185,0084,15:31:20,26/02/25
4185,0083,15:31:30,26/02/25
4186,0084,15:31:40,26/02/25
4186,0084,15:31:50,26/02/25
4184,0083,15:32:00,26/02/25
4183,0083,15:32:10,26/02/25
4184,0083,15:32:20,26/02/25
4184,0082,15:32:30,26/02/25
4184,0083,15:32:40,26/02/25
4184,0083,15:32:50,26/02/25
4187,0084,15:33:00,26/02/25
4184,0083,15:33:10,26/02/25
4184,0082,15:33:20,26/02/25
4186,0083,15:33:30,26/02/25
4186,0083,15:33:40,26/02/25
4184,0083,15:33:50,26/02/25
4184,0082,15:34:00,26/02/25
4184,0083,15:34:10,26/02/25
4184,0084,15:34:20,26/02/25
4183,0083,15:34:30,26/02/25
4184,0083,15:34:40,26/02/25
4184,0083,15:34:50,26/02/25
4185,0083,15:35:00,26/02/25
4185,0083,15:35:10,26/02/25
4184,0083,15:35:20,26/02/25
4186,0083,15:35:30,26/02/25
4187,0084,15:35:40,26/02/25
4184,0083,15:35:50,26/02/25
4185,0083,15:36:00,26/02/25
4187,0083,15:36:10,26/02/25
4184,0082,15:36:20,26/02/25
4184,0084,15:36:30,26/02/25
4182,0082,15:36:40,26/02/25
4185,0083,15:36:50,26/02/25
4183,0083,15:37:00,26/02/25
4184,0082,15:37:10,26/02/25
4186,0082,15:37:20,26/02/25
4186,0082,15:37:30,26/02/25
4185,0082,15:37:40,26/02/25
4183,0082,15:37:50,26/02/25
4184,0083,15:38:00,26/02/25
4185,0082,15:38:10,26/02/25
4184,0083,15:38:20,26/02/25
4184,0083,15:38:30,26/02/25
4184,0082,15:38:40,26/02/25
4186,0083,15:38:50,26/02/25
4184,0082,15:39:00,26/02/25
4185,0082,15:39:10,26/02/25
4183,0082,15:39:20,26/02/25
4185,0082,15:39:30,26/02/25